grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size13_complexity0.80_0000,13,0.8,0,79,20,0.25316455696202533,13
grid_size13_complexity0.80_0001,13,0.8,1,79,15,0.189873418,9
grid_size13_complexity0.80_0002,13,0.8,2,79,10,0.12658227848101267,11
grid_size13_complexity0.80_0003,13,0.8,3,79,18,0.22784810126582278,12
grid_size13_complexity0.80_0004,13,0.8,4,79,8,0.10126582278481013,11
grid_size13_complexity0.80_0005,13,0.8,5,79,22,0.27848101265822783,11
grid_size13_complexity0.80_0006,13,0.8,6,79,12,0.1518987341772152,10
grid_size13_complexity0.80_0007,13,0.8,7,79,5,0.063291139,13
grid_size13_complexity0.80_0008,13,0.8,8,79,17,0.21518987341772153,14
grid_size13_complexity0.80_0009,13,0.8,9,79,21,0.26582278481012656,10
grid_size13_complexity1.00_0000,13,1,0,70,12,0.17142857142857143,0
grid_size13_complexity1.00_0001,13,1,1,70,16,0.22857142857142856,0
grid_size13_complexity1.00_0002,13,1,2,70,22,0.3142857142857143,0
grid_size13_complexity1.00_0003,13,1,3,70,24,0.34285714285714286,0
grid_size13_complexity1.00_0004,13,1,4,70,21,0.3,0
grid_size13_complexity1.00_0005,13,1,5,70,18,0.2571428571428571,0
grid_size13_complexity1.00_0006,13,1,6,70,22,0.3142857142857143,0
grid_size13_complexity1.00_0007,13,1,7,70,28,0.4,0
grid_size13_complexity1.00_0008,13,1,8,70,19,0.2714285714285714,0
grid_size13_complexity1.00_0009,13,1,9,70,15,0.21428571428571427,0
grid_size15_complexity0.00_0000,15,0,0,168,0,0,144
grid_size15_complexity0.00_0001,15,0,1,168,0,0,144
grid_size15_complexity0.00_0002,15,0,2,168,0,0,144
grid_size15_complexity0.00_0003,15,0,3,168,0,0,144
grid_size15_complexity0.00_0004,15,0,4,168,1,0.005952381,144
grid_size15_complexity0.00_0005,15,0,5,168,0,0,144
grid_size15_complexity0.00_0006,15,0,6,168,0,0,144
grid_size15_complexity0.00_0007,15,0,7,168,0,0,144
