grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size15_complexity0.80_0002_StartGoalSwap,15,0.8,2,110,34,0.3090909090909091,17
grid_size15_complexity0.80_0002_TransposeEnv,15,0.8,2,110,30,0.2727272727272727,16
grid_size15_complexity0.80_0003_ReflectEnv,15,0.8,3,110,28,0.2545454545454545,22
grid_size15_complexity0.80_0003_RotateEnv,15,0.8,3,110,32,0.2909090909090909,22
grid_size15_complexity0.80_0003_StartGoalSwap,15,0.8,3,110,26,0.23636363636363636,22
grid_size15_complexity0.80_0003_TransposeEnv,15,0.8,3,110,26,0.23636363636363636,22
grid_size15_complexity0.80_0004_ReflectEnv,15,0.8,4,110,41,0.37272727272727274,15
grid_size15_complexity0.80_0004_RotateEnv,15,0.8,4,110,37,0.33636363636363636,15
grid_size15_complexity0.80_0004_StartGoalSwap,15,0.8,4,110,31,0.2818181818181818,15
grid_size15_complexity0.80_0004_TransposeEnv,15,0.8,4,110,44,0.4,15
grid_size15_complexity0.80_0005_ReflectEnv,15,0.8,5,110,29,0.2636363636363636,15
grid_size15_complexity0.80_0005_RotateEnv,15,0.8,5,110,27,0.24545454545454545,15
grid_size15_complexity0.80_0005_StartGoalSwap,15,0.8,5,110,21,0.19090909090909092,16
grid_size15_complexity0.80_0005_TransposeEnv,15,0.8,5,110,26,0.23636363636363636,15
grid_size15_complexity0.80_0006_ReflectEnv,15,0.8,6,110,41,0.37272727272727274,19
grid_size15_complexity0.80_0006_RotateEnv,15,0.8,6,110,41,0.37272727272727274,19
grid_size15_complexity0.80_0006_StartGoalSwap,15,0.8,6,110,23,0.20909090909090908,18
grid_size15_complexity0.80_0006_TransposeEnv,15,0.8,6,110,46,0.41818181818181815,19
grid_size15_complexity0.80_0007_ReflectEnv,15,0.8,7,110,25,0.22727272727272727,14
grid_size15_complexity0.80_0007_RotateEnv,15,0.8,7,110,27,0.24545454545454545,14
grid_size15_complexity0.80_0007_StartGoalSwap,15,0.8,7,110,29,0.2636363636363636,16
grid_size15_complexity0.80_0007_TransposeEnv,15,0.8,7,110,26,0.23636363636363636,14
grid_size15_complexity0.80_0008_ReflectEnv,15,0.8,8,110,42,0.38181818181818183,19
grid_size15_complexity0.80_0008_RotateEnv,15,0.8,8,110,40,0.36363636363636365,19
grid_size15_complexity0.80_0008_StartGoalSwap,15,0.8,8,110,38,0.34545454545454546,20
grid_size15_complexity0.80_0008_TransposeEnv,15,0.8,8,110,41,0.37272727272727274,19
grid_size15_complexity0.80_0009_ReflectEnv,15,0.8,9,110,14,0.12727272727272726,15
grid_size15_complexity0.80_0009_RotateEnv,15,0.8,9,110,15,0.13636363636363635,15
grid_size15_complexity0.80_0009_StartGoalSwap,15,0.8,9,110,37,0.33636363636363636,16
grid_size15_complexity0.80_0009_TransposeEnv,15,0.8,9,110,23,0.20909090909090908,15
grid_size15_complexity1.00_0000_ReflectEnv,15,1.0,0,96,27,0.28125,0
grid_size15_complexity1.00_0000_RotateEnv,15,1.0,0,96,39,0.40625,0
grid_size15_complexity1.00_0000_StartGoalSwap,15,1.0,0,96,29,0.3020833333333333,0
grid_size15_complexity1.00_0000_TransposeEnv,15,1.0,0,96,31,0.3229166666666667,0
grid_size15_complexity1.00_0001_ReflectEnv,15,1.0,1,96,28,0.2916666666666667,0
grid_size15_complexity1.00_0001_RotateEnv,15,1.0,1,96,36,0.375,0
grid_size15_complexity1.00_0001_StartGoalSwap,15,1.0,1,96,33,0.34375,0
grid_size15_complexity1.00_0001_TransposeEnv,15,1.0,1,96,35,0.3645833333333333,0
grid_size15_complexity1.00_0002_ReflectEnv,15,1.0,2,96,41,0.4270833333333333,0
grid_size15_complexity1.00_0002_RotateEnv,15,1.0,2,96,39,0.40625,0
grid_size15_complexity1.00_0002_StartGoalSwap,15,1.0,2,96,31,0.3229166666666667,0
grid_size15_complexity1.00_0002_TransposeEnv,15,1.0,2,96,42,0.4375,0
grid_size15_complexity1.00_0003_ReflectEnv,15,1.0,3,96,40,0.4166666666666667,0
grid_size15_complexity1.00_0003_RotateEnv,15,1.0,3,96,40,0.4166666666666667,0
grid_size15_complexity1.00_0003_StartGoalSwap,15,1.0,3,96,31,0.3229166666666667,0
grid_size15_complexity1.00_0003_TransposeEnv,15,1.0,3,96,47,0.4895833333333333,0
grid_size15_complexity1.00_0004_ReflectEnv,15,1.0,4,96,27,0.28125,0
grid_size15_complexity1.00_0004_RotateEnv,15,1.0,4,96,38,0.3958333333333333,0
grid_size15_complexity1.00_0004_StartGoalSwap,15,1.0,4,96,30,0.3125,0
grid_size15_complexity1.00_0004_TransposeEnv,15,1.0,4,96,30,0.3125,0
