grid_id,grid_size,complexity,instance_id,total_cells,errors,error_rate,multi_optimal_cells
grid_size13_complexity0.80_0000,13,0.8,0,79,20,0.25316455696202533,13
grid_size13_complexity0.80_0001,13,0.8,1,79,25,0.31645569620253167,9
grid_size13_complexity0.80_0002,13,0.8,2,79,18,0.22784810126582278,11
grid_size13_complexity0.80_0003,13,0.8,3,79,28,0.35443037974683544,12
grid_size13_complexity0.80_0004,13,0.8,4,79,15,0.189873417721519,11
grid_size13_complexity0.80_0005,13,0.8,5,79,20,0.25316455696202533,11
grid_size13_complexity0.80_0006,13,0.8,6,79,22,0.27848101265822783,10
grid_size13_complexity0.80_0007,13,0.8,7,79,17,0.21518987341772153,13
grid_size13_complexity0.80_0008,13,0.8,8,79,21,0.26582278481012656,14
grid_size13_complexity0.80_0009,13,0.8,9,79,24,0.3037974683544304,10
grid_size13_complexity1.00_0000,13,1.0,0,70,24,0.34285714285714286,0
grid_size13_complexity1.00_0001,13,1.0,1,70,26,0.37142857142857144,0
grid_size13_complexity1.00_0002,13,1.0,2,70,33,0.4714285714285714,0
grid_size13_complexity1.00_0003,13,1.0,3,70,21,0.3,0
grid_size13_complexity1.00_0004,13,1.0,4,70,27,0.38571428571428573,0
grid_size13_complexity1.00_0005,13,1.0,5,70,32,0.45714285714285713,0
grid_size13_complexity1.00_0006,13,1.0,6,70,32,0.45714285714285713,0
grid_size13_complexity1.00_0007,13,1.0,7,70,32,0.45714285714285713,0
grid_size13_complexity1.00_0008,13,1.0,8,70,26,0.37142857142857144,0
grid_size13_complexity1.00_0009,13,1.0,9,70,16,0.22857142857142856,0
grid_size15_complexity0.00_0000,15,0.0,0,168,0,0.0,144
grid_size15_complexity0.00_0001,15,0.0,1,168,0,0.0,144
grid_size15_complexity0.00_0002,15,0.0,2,168,0,0.0,144
grid_size15_complexity0.00_0003,15,0.0,3,168,1,0.005952380952380952,144
grid_size15_complexity0.00_0004,15,0.0,4,168,0,0.0,144
grid_size15_complexity0.00_0005,15,0.0,5,168,0,0.0,144
grid_size15_complexity0.00_0006,15,0.0,6,168,0,0.0,144
grid_size15_complexity0.00_0007,15,0.0,7,168,0,0.0,144
grid_size15_complexity0.00_0008,15,0.0,8,168,1,0.005952380952380952,144
grid_size15_complexity0.00_0009,15,0.0,9,168,0,0.0,144
grid_size15_complexity0.20_0000,15,0.2,0,153,17,0.1111111111111111,104
grid_size15_complexity0.20_0001,15,0.2,1,153,19,0.12418300653594772,96
grid_size15_complexity0.20_0002,15,0.2,2,153,16,0.10457516339869281,99
grid_size15_complexity0.20_0003,15,0.2,3,153,19,0.12418300653594772,104
grid_size15_complexity0.20_0004,15,0.2,4,153,12,0.0784313725490196,99
grid_size15_complexity0.20_0005,15,0.2,5,153,16,0.10457516339869281,101
grid_size15_complexity0.20_0006,15,0.2,6,153,18,0.11764705882352941,100
grid_size15_complexity0.20_0007,15,0.2,7,153,18,0.11764705882352941,97
grid_size15_complexity0.20_0008,15,0.2,8,153,24,0.1568627450980392,98
grid_size15_complexity0.20_0009,15,0.2,9,153,25,0.16339869281045752,91
grid_size15_complexity0.40_0000,15,0.4,0,139,30,0.2158273381294964,67
grid_size15_complexity0.40_0001,15,0.4,1,139,41,0.2949640287769784,66
grid_size15_complexity0.40_0002,15,0.4,2,139,24,0.17266187050359713,64
grid_size15_complexity0.40_0003,15,0.4,3,139,25,0.17985611510791366,58
grid_size15_complexity0.40_0004,15,0.4,4,139,30,0.2158273381294964,69
grid_size15_complexity0.40_0005,15,0.4,5,139,15,0.1079136690647482,70
grid_size15_complexity0.40_0006,15,0.4,6,139,39,0.2805755395683453,74
grid_size15_complexity0.40_0007,15,0.4,7,139,36,0.2589928057553957,62
grid_size15_complexity0.40_0008,15,0.4,8,139,22,0.15827338129496402,69
grid_size15_complexity0.40_0009,15,0.4,9,139,23,0.16546762589928057,64
grid_size15_complexity0.60_0000,15,0.6,0,124,29,0.23387096774193547,38
grid_size15_complexity0.60_0001,15,0.6,1,124,35,0.28225806451612906,40
grid_size15_complexity0.60_0002,15,0.6,2,124,30,0.24193548387096775,39
grid_size15_complexity0.60_0003,15,0.6,3,124,33,0.2661290322580645,36
grid_size15_complexity0.60_0004,15,0.6,4,124,32,0.25806451612903225,43
grid_size15_complexity0.60_0005,15,0.6,5,124,25,0.20161290322580644,37
grid_size15_complexity0.60_0006,15,0.6,6,124,29,0.23387096774193547,37
grid_size15_complexity0.60_0007,15,0.6,7,124,31,0.25,38
grid_size15_complexity0.60_0008,15,0.6,8,124,37,0.29838709677419356,35
grid_size15_complexity0.60_0009,15,0.6,9,124,46,0.3709677419354839,37
grid_size15_complexity0.80_0000,15,0.8,0,110,45,0.4090909090909091,15
grid_size15_complexity0.80_0001,15,0.8,1,110,42,0.38181818181818183,16
grid_size15_complexity0.80_0002,15,0.8,2,110,37,0.33636363636363636,16
grid_size15_complexity0.80_0003,15,0.8,3,110,45,0.4090909090909091,22
grid_size15_complexity0.80_0004,15,0.8,4,110,51,0.4636363636363636,15
grid_size15_complexity0.80_0005,15,0.8,5,110,46,0.41818181818181815,15
grid_size15_complexity0.80_0006,15,0.8,6,110,44,0.4,19
grid_size15_complexity0.80_0007,15,0.8,7,110,34,0.3090909090909091,14
grid_size15_complexity0.80_0008,15,0.8,8,110,37,0.33636363636363636,19
grid_size15_complexity0.80_0009,15,0.8,9,110,27,0.24545454545454545,15
grid_size15_complexity1.00_0000,15,1.0,0,96,44,0.4583333333333333,0
grid_size15_complexity1.00_0001,15,1.0,1,96,44,0.4583333333333333,0
grid_size15_complexity1.00_0002,15,1.0,2,96,47,0.4895833333333333,0
grid_size15_complexity1.00_0003,15,1.0,3,96,58,0.6041666666666666,0
grid_size15_complexity1.00_0004,15,1.0,4,96,29,0.3020833333333333,0
grid_size15_complexity1.00_0005,15,1.0,5,96,34,0.3541666666666667,0
grid_size15_complexity1.00_0007,15,1.0,7,96,38,0.3958333333333333,0
grid_size7_complexity0.00_0000,7,0.0,0,24,0,0.0,16
grid_size7_complexity0.00_0001,7,0.0,1,24,0,0.0,16
grid_size7_complexity0.00_0002,7,0.0,2,24,0,0.0,16
grid_size7_complexity0.00_0003,7,0.0,3,24,0,0.0,16
grid_size7_complexity0.00_0004,7,0.0,4,24,0,0.0,16
grid_size7_complexity0.00_0005,7,0.0,5,24,0,0.0,16
grid_size7_complexity0.00_0006,7,0.0,6,24,0,0.0,16
grid_size7_complexity0.00_0007,7,0.0,7,24,0,0.0,16
grid_size7_complexity0.00_0008,7,0.0,8,24,0,0.0,16
grid_size7_complexity0.00_0009,7,0.0,9,24,0,0.0,16
grid_size7_complexity0.20_0000,7,0.2,0,22,1,0.045454545454545456,11
grid_size7_complexity0.20_0001,7,0.2,1,22,0,0.0,10
grid_size7_complexity0.20_0002,7,0.2,2,22,0,0.0,10
grid_size7_complexity0.20_0003,7,0.2,3,22,0,0.0,10
